county,popwiki,trump,clinton,others2016,total2016,romney,obama,total2012,paper,pop,white,collegeed,black
adams,20875,5983,3780,344,10107,4644,5542,10287,0,20730,97.6,10,0.3
ashland,16157,3428,4136,362,7926,2820,5399,8372,1,15975,87.1,16.5,0.2
barron,45870,13595,7881,1038,22514,11443,10890,22692,0,46372,97.7,14.9,0.1
bayfield,15014,4125,4953,413,9491,3606,6033,9788,1,15206,88.5,21.6,0.1
brown,248007,67192,53358,6947,127497,64836,62526,128928,1,257897,91.1,22.5,1.2
buffalo,13587,4049,2531,341,6921,3364,3570,7039,0,13704,98.7,14,0.1
burnett,15457,5412,2948,359,8719,4550,3986,8677,0,15544,93.2,14,0.4
calumet,48971,15345,9634,1450,26429,14539,11489,26420,0,51669,96.7,20.8,0.3
chippewa,62415,17912,11875,1684,31471,15322,15237,30932,0,64135,97.8,14.7,0.2
clark,34690,8645,4225,678,13548,7412,6172,13801,0,34888,98.1,10.3,0.1
columbia,56833,14160,13525,1602,29287,13026,17175,30654,1,57066,97.2,16.7,0.9
crawford,16644,3844,3426,408,7678,3067,4629,7817,0,16744,97.3,13.2,1.4
dane,488073,71270,217506,15953,304729,83644,216071,304181,1,518538,89,40.6,4
dodge,88759,26643,13968,2207,42818,25211,18762,44488,0,89962,95.3,13.2,2.5
door,27785,8584,8026,788,17398,8121,9357,17671,1,28127,97.8,21.4,0.2
douglas,44159,9657,11342,1186,22185,7705,14863,22894,1,44415,95.3,18.3,0.6
dunn,43857,11487,9025,1517,22029,10224,11316,21992,0,44575,96.1,21.1,0.3
eau-claire,98736,23301,27271,3508,54080,23256,30666,54806,0,101731,95,27,0.5
florence,4423,1897,666,88,2651,1645,953,2625,0,4473,98.2,12.4,0.2
fond-du-lac,101633,31044,17391,2659,51094,30355,22379,53402,1,103290,96.2,16.9,0.9
forest,9304,2787,1583,137,4507,2172,2425,4648,0,9279,85.9,10,1.2
grant,51208,12347,10047,1657,24051,10255,13594,24248,0,53107,98.2,17.2,0.5
green,36842,8693,9121,977,18791,7857,11206,19322,1,36907,98.1,16.7,0.3
green-lake,19051,6210,2700,405,9315,5782,3793,9675,0,19143,97.8,14.5,0.2
iowa,23687,4809,6669,645,12123,4287,8105,12534,0,23829,98.7,18.5,0.2
iron,5916,2090,1273,114,3477,1790,1784,3632,0,5901,98.3,13.2,0.1
jackson,20449,4907,3821,474,9202,3900,5298,9313,0,20743,89.6,11.3,2.3
jefferson,83686,23409,16559,2356,42324,23517,20158,44281,0,84262,96.3,17.4,0.3
juneau,26664,7188,4100,448,11736,5411,6242,11827,0,27022,96.6,10,0.3
kenosha,166426,36025,35770,4030,75825,34977,44867,80897,1,167658,88.4,19.2,5.1
kewaunee,20574,6616,3623,503,10742,5747,5153,11037,0,20723,98.6,11.4,0.2
la-crosse,114638,26384,32402,3999,62785,25751,36693,63462,1,118038,94.2,25.4,0.9
lafayette,16836,3977,3288,337,7602,3314,4536,7952,0,16961,99,13.3,0.1
