Search Results: Wisconsin / 2016 
FIPS code,State,Jurisdiction,Division,Precincts,Total Registration,Make,Model,Equipment Type,VVPAT,Accessible Use,Early Voting,Absentee Ballots,Polling Place
5500100300,Wisconsin,Adams Town,Adams,1,718,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500100275,Wisconsin,Adams City,Adams,1,940,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500100275,Wisconsin,Adams City,Adams,1,940,Election Systems & Software,Optech IIIP-Eagle,Optical Scan,N/A,No,Yes,Yes,Yes
5500100300,Wisconsin,Adams Town,Adams,1,718,Vote-PAD,Vote-PAD Ballot Marking System,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500107300,Wisconsin,Adams Town,Big Flats,1,573,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500107300,Wisconsin,Adams Town,Big Flats,1,573,Sequoia (Dominion),Optech Insight,Optical Scan,N/A,No,Yes,Yes,Yes
5500116075,Wisconsin,Adams Town,Colburn,1,149,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500116075,Wisconsin,Adams Town,Colburn,1,149,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500119575,Wisconsin,Adams Town,Dell Prairie,1,1009,Vote-PAD,Vote-PAD Ballot Marking System,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500119575,Wisconsin,Adams Town,Dell Prairie,1,1009,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500122000,Wisconsin,Adams Town,Easton,1,569,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500122000,Wisconsin,Adams Town,Easton,1,569,Sequoia (Dominion),Optech Insight,Optical Scan,N/A,No,Yes,Yes,Yes
5500127950,Wisconsin,Adams Village,Friendship,1,329,Vote-PAD,Vote-PAD Ballot Marking System,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500127950,Wisconsin,Adams Village,Friendship,1,329,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500137625,Wisconsin,Adams Town,Jackson,1,631,Vote-PAD,Vote-PAD Ballot Marking System,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500137625,Wisconsin,Adams Town,Jackson,1,631,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500143425,Wisconsin,Adams Town,Leola,1,169,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500143425,Wisconsin,Adams Town,Leola,1,169,Vote-PAD,Vote-PAD Ballot Marking System,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500144250,Wisconsin,Adams Town,Lincoln,1,181,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500144250,Wisconsin,Adams Town,Lincoln,1,181,Sequoia (Dominion),Optech Insight,Optical Scan,N/A,No,Yes,Yes,Yes
5500153725,Wisconsin,Adams Town,Monroe,1,274,Sequoia (Dominion),Optech Insight,Optical Scan,N/A,No,Yes,Yes,Yes
5500153725,Wisconsin,Adams Town,Monroe,1,274,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500156525,Wisconsin,Adams Town,New Chester,1,485,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500156525,Wisconsin,Adams Town,New Chester,1,485,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500156750,Wisconsin,Adams Town,New Haven,1,427,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500156750,Wisconsin,Adams Town,New Haven,1,427,Sequoia (Dominion),Optech Insight,Optical Scan,N/A,No,Yes,Yes,Yes
